tag,Lon,Lat,Lon.2.5.,Lon.97.25.,Lat.2.5.,Lat.97.25.,mask,tag.loc,year,Ring.No,type,site.number
061,-17.09482759,14.75819672,-17.09482759,-11.59482759,7.758196721,27.75819672,land,UK,2009,X461460,geolocator,1
061,-16.06034483,12.21721311,-17.06034483,-12.06034483,8.217213115,25.71721311,land,UK,2009,X461460,geolocator,2
062,-16.07758621,12.25819672,-17.07758621,-9.577586207,8.258196721,24.75819672,land,UK,2009,X461466,geolocator,1
069,-14.09482759,10.29918033,-17.09482759,-9.094827586,7.299180328,25.29918033,land,UK,2009,X461453,geolocator,1
074,-12.62931034,16.21721311,-16.62931034,-8.629310345,5.217213115,29.21721311,land,UK,2009,X461448,geolocator,1
074,-9.646551724,5.635245902,-14.14655172,-6.646551724,4.635245902,27.6352459,land,UK,2009,X461448,geolocator,2
075,-16.09482759,15.71721311,-18.09482759,-11.59482759,7.717213115,28.21721311,land,UK,2009,L245093,geolocator,1
082,-14.61206897,10.88114754,-17.11206897,-10.61206897,7.381147541,21.38114754,land,UK,2009,Y619659,geolocator,1
083,-16.56034483,13.1352459,-17.06034483,-14.06034483,10.1352459,20.1352459,land,UK,2009,V822436,geolocator,1
083,-13.12931034,8.217213115,-16.62931034,-9.629310345,6.717213115,28.21721311,land,UK,2009,V822436,geolocator,2
091,-15.61206897,12.21721311,-17.11206897,-12.11206897,7.717213115,26.21721311,land,UK,2009,TA78514,geolocator,1
091,-14.59482759,10.47131148,-17.09482759,-8.094827586,5.471311475,30.97131148,land,UK,2009,TA78514,geolocator,2
097,-16.11206897,11.84016393,-17.11206897,-13.61206897,10.34016393,19.84016393,land,UK,2009,X461451,geolocator,1
098,-15.61206897,14.29918033,-17.11206897,-13.11206897,8.299180328,21.29918033,land,UK,2009,Y619609,geolocator,1
0AD,-16.00862069,11.51229508,-17.00862069,-11.50862069,7.012295082,16.01229508,land,UK,2009,0AD,geolocator,1
0AD,-11.11206897,6.840163934,-15.11206897,-10.61206897,6.340163934,11.84016393,land,UK,2009,0AD,geolocator,2
115,-15.61206897,14.21721311,-17.11206897,-12.11206897,7.717213115,26.71721311,land,UK,2009,V822468,geolocator,1
117,-16.61206897,13.25819672,-17.11206897,-14.11206897,10.25819672,21.75819672,land,UK,2009,L244657,geolocator,1
119,-16.09482759,17.17622951,-17.09482759,-12.59482759,7.676229508,25.67622951,land,UK,2009,Y619601,geolocator,1
BE482,-15.07758621,11.21721311,-17.07758621,-3.577586207,6.717213115,34.71721311,land,UK,2009,X461451,geolocator,1
BE491,-16.95114943,14.80464481,-16.95114943,-13.61781609,9.637978142,25.47131148,land,UK,2009,Z477414,geolocator,1
BE497,-16.07758621,12.25819672,-17.07758621,-11.07758621,6.758196721,26.25819672,land,UK,2009,D429747,geolocator,1
BE506,-16.95114943,14.82103825,-17.11781609,-12.78448276,8.987704918,27.32103825,land,UK,2009,NY53817,geolocator,1
BE506,-11.50862069,7.102459016,-16.00862069,-7.00862069,5.102459016,23.10245902,land,UK,2009,NY53817,geolocator,2
BE509,-16.61206897,15.71721311,-17.11206897,-13.11206897,10.21721311,26.21721311,land,UK,2009,NY53807,geolocator,1
BE521,-16.07758621,12.21721311,-17.07758621,-10.57758621,7.717213115,25.71721311,land,UK,2009,TS96362,geolocator,1
BE521,-10.61206897,6.299180328,-17.11206897,-7.112068966,4.799180328,25.29918033,land,UK,2009,TS96362,geolocator,2
S410,-16.61206897,12.79918033,-17.11206897,-12.61206897,10.79918033,23.79918033,land,UK,2009,X461487,geolocator,1
S412,-14.20402299,16.01502732,-17.78735632,-8.704022989,-3.818306011,36.01502732,land,UK,2009,L245093,geolocator,1
S413,-16.61206897,12.42213115,-16.61206897,-15.61206897,11.92213115,16.42213115,land,UK,2009,X461488,geolocator,1
S413,-16.19827586,11.10245902,-16.69827586,-15.19827586,11.10245902,14.60245902,land,UK,2009,X461488,geolocator,2
S414,-14.61206897,10.84016393,-17.11206897,-11.11206897,7.840163934,20.84016393,land,UK,2009,TE64522 ,geolocator,1
S418,-16.07758621,11.79918033,-16.57758621,-13.57758621,9.799180328,16.29918033,land,UK,2009,X461451,geolocator,1
S420,-16.11206897,11.84016393,-16.61206897,-13.11206897,10.34016393,19.84016393,land,UK,2009,Y619609,geolocator,1
S421,-16.11206897,12.25819672,-17.11206897,-12.11206897,9.758196721,24.75819672,land,UK,2009,X461494,geolocator,1
S422,-16.52586207,12.55327869,-17.02586207,-11.02586207,7.053278689,17.05327869,land,UK,2009,X461486,geolocator,1
Z401,-16.09482759,12.25819672,-17.09482759,-13.09482759,9.758196721,21.25819672,land,UK,2009,TZ28065,geolocator,1
Z408,-16.61206897,13.25819672,-17.11206897,-13.61206897,10.25819672,22.75819672,land,UK,2009,Z477389,geolocator,1
Z408,-12.64655172,8.135245902,-14.64655172,-10.64655172,7.135245902,27.6352459,land,UK,2009,Z477389,geolocator,2
Z411,-16.39482759,16.65655738,-17.19482759,-12.69482759,9.956557377,29.15655738,land,UK,2009,Z477414,geolocator,1
Z412,-17.07758621,14.5942623,-17.07758621,-11.57758621,7.094262295,28.0942623,land,UK,2009,Z477385,geolocator,1
Z412,-13.11206897,8.299180328,-17.11206897,-7.612068966,5.299180328,21.79918033,land,UK,2009,Z477385,geolocator,2
061,-17.06034483,-1.987704918,-23.56034483,-12.06034483,-25.98770492,28.51229508,none,UK,2009,X461460,geolocator,1
061,-18.09482759,8.758196721,-22.09482759,-12.09482759,-11.74180328,23.25819672,none,UK,2009,X461460,geolocator,2
062,-16.07758621,7.258196721,-20.57758621,-12.57758621,-7.741803279,18.75819672,none,UK,2009,X461466,geolocator,1
069,-15.07758621,3.217213115,-20.57758621,-10.57758621,-6.282786885,21.71721311,none,UK,2009,X461453,geolocator,1
069,-14.62931034,8.299180328,-17.62931034,-11.62931034,-14.20081967,22.79918033,none,UK,2009,X461453,geolocator,2
074,-10.64655172,6.299180328,-15.14655172,-5.146551724,4.799180328,29.79918033,none,UK,2009,X461448,geolocator,1
074,-12.62931034,11.17622951,-16.62931034,-8.129310345,5.176229508,31.17622951,none,UK,2009,X461448,geolocator,2
075,-16.09482759,15.67622951,-22.09482759,-11.59482759,-4.323770492,30.17622951,none,UK,2009,L245093,geolocator,1
075,-18.07758621,8.971311475,-21.57758621,-13.57758621,-24.52868852,35.97131148,none,UK,2009,L245093,geolocator,2
082,-14.61206897,7.881147541,-18.61206897,-11.61206897,-7.118852459,19.38114754,none,UK,2009,Y619659,geolocator,1
083,-16.56034483,12.6352459,-20.56034483,-13.06034483,0.135245902,23.6352459,none,UK,2009,V822436,geolocator,1
083,-13.12931034,1.217213115,-16.62931034,-10.12931034,-28.28278689,26.21721311,none,UK,2009,V822436,geolocator,2
091,-13.59482759,-3.028688525,-18.59482759,-9.594827586,-28.02868852,30.47131148,none,UK,2009,TA78514,geolocator,1
091,-15.61206897,11.21721311,-19.61206897,-11.11206897,-6.782786885,26.21721311,none,UK,2009,TA78514,geolocator,2
097,-16.59482759,10.79918033,-20.09482759,-13.59482759,-0.700819672,19.29918033,none,UK,2009,X461451,geolocator,1
098,-15.61206897,14.29918033,-19.11206897,-13.11206897,0.799180328,22.29918033,none,UK,2009,Y619609,geolocator,1
0AD,-12.61206897,0.340163934,-16.11206897,-9.612068966,-12.15983607,8.840163934,none,UK,2009,0AD,geolocator,1
0AD,-15.50862069,7.012295082,-19.50862069,-10.50862069,-8.987704918,18.51229508,none,UK,2009,0AD,geolocator,2
115,-15.61206897,14.21721311,-19.11206897,-11.11206897,-4.782786885,26.71721311,none,UK,2009,V822468,geolocator,1
117,-16.61206897,13.25819672,-19.11206897,-13.11206897,1.258196721,21.75819672,none,UK,2009,L244657,geolocator,1
119,-16.09482759,17.17622951,-19.59482759,-12.59482759,1.176229508,27.17622951,none,UK,2009,Y619601,geolocator,1
BE482,-17.07758621,5.217213115,-23.57758621,-9.077586207,-14.28278689,25.21721311,none,UK,2009,X461451,geolocator,1
BE491,-17.72126437,10.84562842,-23.0545977,-12.5545977,-20.82103825,32.17896175,none,UK,2009,Z477414,geolocator,1
BE497,-16.07758621,10.21721311,-21.57758621,-9.577586207,-14.78278689,24.21721311,none,UK,2009,D429747,geolocator,1
BE506,-17.09482759,13.67622951,-21.09482759,-11.59482759,-4.823770492,28.67622951,none,UK,2009,NY53817,geolocator,1
BE506,-11.50862069,6.602459016,-16.00862069,9.99137931,-47.39754098,23.10245902,none,UK,2009,NY53817,geolocator,2
BE509,-16.59482759,15.21721311,-19.59482759,-12.59482759,-3.282786885,26.71721311,none,UK,2009,NY53807,geolocator,1
BE521,-16.07758621,8.217213115,-20.07758621,-11.57758621,-8.282786885,20.71721311,none,UK,2009,TS96362,geolocator,1
BE521,-12.61206897,-3.200819672,-18.11206897,-8.112068966,-21.20081967,16.79918033,none,UK,2009,TS96362,geolocator,2
S410,-16.61206897,9.799180328,-19.11206897,-13.61206897,-3.200819672,20.29918033,none,UK,2009,X461487,geolocator,1
S412,-16.11206897,11.84016393,-17.11206897,-13.61206897,10.34016393,19.84016393,none,UK,2009,L245093,geolocator,1
S413,-17.09482759,8.381147541,-19.59482759,-15.09482759,-0.118852459,15.38114754,none,UK,2009,X461488,geolocator,1
S414,-14.61206897,10.79918033,-17.61206897,-11.61206897,0.799180328,19.79918033,none,UK,2009,TE64522 ,geolocator,1
S418,-17.07758621,6.799180328,-20.07758621,-14.57758621,-3.200819672,15.79918033,none,UK,2009,X461451,geolocator,1
S420,-16.11206897,10.84016393,-18.11206897,-12.61206897,-0.159836066,19.34016393,none,UK,2009,Y619609,geolocator,1
S421,-16.11206897,9.758196721,-19.11206897,-12.61206897,-7.241803279,23.75819672,none,UK,2009,X461494,geolocator,1
S422,-16.02586207,3.053278689,-21.02586207,-9.025862069,-12.44672131,18.55327869,none,UK,2009,X461486,geolocator,1
Z401,-16.07758621,12.6352459,-19.57758621,-12.07758621,2.135245902,24.6352459,none,UK,2009,TZ28065,geolocator,1
Z401,-16.61206897,2.848360656,-19.61206897,-13.11206897,-32.15163934,42.34836066,none,UK,2009,TZ28065,geolocator,2
Z408,-17.09482759,12.71721311,-20.09482759,-12.09482759,-2.782786885,22.21721311,none,UK,2009,Z477389,geolocator,1
Z408,-12.64655172,5.635245902,-15.64655172,-9.646551724,-22.3647541,28.1352459,none,UK,2009,Z477389,geolocator,2
Z411,-17.59482759,13.75819672,-21.59482759,-13.09482759,-3.241803279,24.75819672,none,UK,2009,Z477414,geolocator,1
Z412,-17.07758621,7.307377049,-22.57758621,-11.57758621,-26.69262295,46.80737705,none,UK,2009,Z477385,geolocator,1
Z412,-17.00862069,15.88934426,-22.50862069,-7.50862069,-10.61065574,30.38934426,none,UK,2009,Z477385,geolocator,2
Z412,-13.61206897,4.299180328,-19.11206897,-8.612068966,-15.20081967,20.29918033,none,UK,2009,Z477385,geolocator,3
373,-3.215517241,0.340163934,-4.715517241,-1.215517241,-20.65983607,17.84016393,none,Ghana,2012,NA,geolocator,1
373,-2.715517241,5.340163934,-5.215517241,-0.715517241,4.840163934,21.34016393,land,Ghana,2012,NA,geolocator,1
376,-2.715517241,7.717213115,-4.715517241,-0.215517241,-10.78278689,26.71721311,none,Ghana,2012,NA,geolocator,1
376,-2.715517241,7.717213115,-4.715517241,-0.215517241,5.217213115,26.71721311,land,Ghana,2012,NA,geolocator,1
381,-2.715517241,-6.159836066,-4.215517241,-0.215517241,-27.65983607,23.34016393,none,Ghana,2012,NA,geolocator,1
381,-1.215517241,5.340163934,-5.215517241,0.784482759,4.840163934,27.34016393,land,Ghana,2012,NA,geolocator,1
BR060,-17.11206897,20.1352459,-19.61206897,-14.11206897,3.635245902,32.6352459,none,Gambia,2012,NA,geolocator,1
BR060,-16.61206897,21.1352459,-17.11206897,-14.11206897,10.1352459,28.1352459,land,Gambia,2019,NA,geolocator,1
BR063,-17.11206897,10.42213115,-18.61206897,-15.61206897,3.922131148,15.92213115,none,Gambia,2019,NA,geolocator,1
BR063,-16.61206897,12.42213115,-17.11206897,-14.11206897,11.92213115,19.92213115,land,Gambia,2019,NA,geolocator,1
BR064,-17.12931034,11.96311475,-18.62931034,-15.62931034,5.963114754,16.96311475,none,Gambia,2019,NA,geolocator,1
BR064,-16.62931034,12.46311475,-17.12931034,-15.62931034,11.96311475,16.96311475,land,Gambia,2019,NA,geolocator,1
BV422,-16.62931034,13.84016393,-18.12931034,-15.62931034,6.840163934,21.84016393,none,Gambia,2019,NA,geolocator,1
BV422,-16.57758621,14.17622951,-17.07758621,-15.57758621,12.17622951,17.17622951,land,Gambia,2019,NA,geolocator,1
BV422,-16.09482759,11.71721311,-19.59482759,-10.09482759,-6.282786885,25.21721311,none,Gambia,2020,NA,geolocator,1
BV422,-16.59482759,13.29918033,-17.09482759,-12.59482759,10.79918033,23.29918033,land,Gambia,2020,NA,geolocator,1
58392,-16.97052,14.81541,NA,NA,NA,NA,NA,UK,2023,NA,gps,NA
58400,-13.3466,13.53815,NA,NA,NA,NA,NA,UK,2023,NA,gps,NA
NA,13.08,-16.769,NA,NA,NA,NA,NA,UK,2011,L142251,ringing,1
NA,13.081,-16.771,NA,NA,NA,NA,NA,UK,2012,L305877,ringing,1
NA,13.072,-16.749,NA,NA,NA,NA,NA,Gambia,2016,NA82699,ringing,1
NA,13.072,-16.749,NA,NA,NA,NA,NA,UK,2016,TZ28089,ringing,1
NA,13.083,-16.77,NA,NA,NA,NA,NA,Gambia,2018,TR12149,ringing,1
NA,13.08,-16.769,NA,NA,NA,NA,NA,UK,2019,VZ73656,ringing,1
