RTYPE,SCHEME,RING,RINFO,SPEC,RACE,AGE,SEX,SXMTD,DATE,PLACE,SITE,LAT,LONG,FIND,CIRCUMSTANCE,COND,ACT,ACT2,HAB1,HAB2,IRPL,GRID,SCHEM2,RING2,WING,WINGINIT,WT,WTDATE,INIT,POINT,PRIML,MOULT,PPSC,PPMLT,OGC,ALULA,BLMTD,BILL,THL,BDMTD,BILLD,TSMTD,TARSUS,TAIL,CLAW,PLUM,PATCH,FAT,PEC,MTHOD,PULALIV,PULRING,PULCODE,OWN,OWN2,USERC1,USERC2,USERC3,USERC4,USERC5,USERV1,USERV2,USERV3,USERV4,USERV5,TEXT,CAPTURETYPE,FATMTD,SAMPLE,HTTIME,FINDER,BODYMOULT,TAILFORK,EXTRACTINIT,RINGINIT,CHECKINIT,PROJECT1,PROJECTREG1,PROJECT2,PROJECTREG2,PROJECT3,PROJECTREG3,LB,LA,RB,RA,LW,RW,NC,SSMLT,PCMLT,GCMLT,CCMLT,ALULAMLT,TAILMLT,LPPMLT,LSSMLT,LPCMLT,LGCMLT,LCCMLT,LALULAMLT,LTAILMLT,LMCMLT,UWCMLT,HEADMLT,UPPMLT,UNPMLT
R,GBT,NA82757,,NIGAL,,6,,,01/03/2017 07:00,KARTON,BARRA2,13.081,-16.771,8,20,,,,G5,B7,VM00,,,,86,HJE,29.6,01/03/2017 07:00,HJE,,,O,,,,,,,,,,,,,,,,5,,M,,,,,,,,,,,,,,,net 5,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12130,,NIGAL,,4,,,05/03/2017 07:30,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,84,PJB,30.5,05/03/2017 07:30,PJB,,,O,,,,,,,36.5,,,,,70,,,,6,,M,,,,,,,,,,,,,,,net 1,B rings used for NIGAL at KBO,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,S647420,,NIGAL,,6,,,06/03/2017 09:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,86,JRB,26.6,06/03/2017 09:00,JRB,,,O,,,,,,,,,,,,73,,,,6,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,NA82699,I,NIGAL,,4,M,C,04/05/2017 10:50,TM1436,,51.982,1.115,8,20,,,,B1,G4,GBSUF,TM1436,,,86,GC,22.2,04/05/2017 10:50,GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBM;RBY,new tracker attached,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,AJB5043,,NIGAL,,3,,,18/11/2017 11:40,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,82,DW,19.9,18/11/2017 11:40,DW,,,O,,,3,,,,,,,,,68,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82761,,NIGAL,,3,,,19/11/2017 07:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,84,PMN,18.6,19/11/2017 07:30,PMN,,,O,,,5,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 10,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,TZ28089,,NIGAL,,4,,,21/11/2017 07:00,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,81,OF,17.5,21/11/2017 07:00,OF,,,O,,,,,,,,,,,,64,,,,0,,M,,,,,,,,,,,,,,,net 16,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,BJ28150,,NIGAL,,4,,,21/11/2017 18:30,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,83,PCL,21.1,21/11/2017 18:30,PCL,,,O,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82699,,NIGAL,,4,,,22/11/2017 07:30,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,86,RW,20.4,22/11/2017 07:30,RW,,,O,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,LBM;RBY,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12130,,NIGAL,,4,,,22/11/2017 07:30,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,84,PMN,22.5,22/11/2017 07:30,PMN,,,O,,,,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82761,,NIGAL,,3,,,25/11/2017 07:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,82,JVL,18.7,25/11/2017 07:00,JVL,,,O,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 8,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,AJB5043,,NIGAL,,3,,,25/11/2017 07:30,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,83,RW,18.9,25/11/2017 07:30,RW,,,O,,,1,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 10,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12145,,NIGAL,,3,,,25/11/2017 08:00,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,79,PMN,19.1,25/11/2017 08:00,PMN,,,O,,,5,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,AJB5043,,NIGAL,,3,,,27/11/2017 07:30,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,82,PMN,18,27/11/2017 07:30,PMN,,,O,,,3,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 2,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82761,,NIGAL,,3,,,27/11/2017 08:30,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,82,JVL,19.6,27/11/2017 08:30,JVL,,,O,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12149,,NIGAL,,5,,,17/01/2018 08:00,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,80,JAG,17.7,17/01/2018 08:00,JAG,,,O,,,6,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 3,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12154,,NIGAL,,5,,,18/01/2018 08:20,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,86,JLS,20.8,18/01/2018 08:20,JLS,,,O,,,5,,,,,,,,,70,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,AJB5043,,NIGAL,,5,,,18/01/2018 10:30,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,82,OF,21,18/01/2018 10:30,OF,,,O,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12161,,NIGAL,,4,,,22/01/2018 07:30,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,84,JLS,21.1,22/01/2018 07:30,JLS,,,O,,,,,,,,,,,,70,,,,4,,M,,,,,,,,,,,,,,,net 6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12169,,NIGAL,,4,,,26/01/2018 08:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,82,DAW,21,26/01/2018 08:00,DAW,,,O,,,,,,,,,,,,64,,,,4,,M,,,,,,,,,,,,,,,net 14,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12107,,NIGAL,,6,,,26/01/2018 08:30,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,84,JLS,20.2,26/01/2018 08:30,JLS,,,O,,,,,,,,,,,,,,,,4,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,BJ28150,,NIGAL,,4,,,27/01/2018 07:50,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,82,JAG,20.6,27/01/2018 07:50,JAG,,,N,,,,,,,,,,,,,,,,2,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82692,,NIGAL,,6,,,06/03/2018 08:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,88,DAB,22.3,06/03/2018 08:00,DAB,,,O,,,,,,,,,,,,,,,,5,,M,,,,,,,,,,,,,,,net 11,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12190,,NIGAL,,5,,,09/03/2018 09:00,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,79,PHH,26.1,09/03/2018 09:00,PHH,,,O,,,5,,,,,,,,,,,,,6,,M,,,,,,,,,,,,,,,net 4,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12169,,NIGAL,,6,,,11/03/2018 08:00,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,81,PHH,23.8,11/03/2018 08:00,PHH,,,N,,,,,,,,,,,,,,,,4,,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,VZ73656,,NIGAL,,1,,,29/05/2018 10:00,TM2950,,52.084,1.334,,,,,,,,GBSUF,TM2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,JP96017,,NIGAL,,3,,,14/11/2018 07:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,83,CRP,17.9,14/11/2018 07:30,CRP,,,O,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12145,,NIGAL,,4,,,14/11/2018 08:30,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,83,JAG,18.7,14/11/2018 08:30,JAG,,,O,,,,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82692,,NIGAL,,4,,,15/11/2018 08:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,88,PMN,20.6,15/11/2018 08:00,PMN,,,O,,,,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 12,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12107,,NIGAL,,4,,,15/11/2018 16:00,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,84,CRP,20.4,15/11/2018 16:00,CRP,,,O,,,,,,,,,,,,,,,,3,,M,,,,,,,,,,,,,,,net 7,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12197,,NIGAL,,4,,,17/11/2018 07:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,85,GHG,21,17/11/2018 07:00,GHG,,,N,,,,,,,,,,,,70,,,,2,,M,,,,,,,,,,,,,,,net 2,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,TZ28089,,NIGAL,,4,,,17/11/2018 08:30,KARTON,STALA,13.072,-16.749,8,20,,,,J1,,VM00,,,,81,GHG,18.7,17/11/2018 08:30,GHG,,,N,,,,,,,,,,,,,,,,2,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,T463372,,NIGAL,,3,,,18/11/2018 07:30,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,85,JAG,18.1,18/11/2018 07:30,JAG,,,O,,,6,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 6,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12149,,NIGAL,,4,,,18/11/2018 07:30,KARTON,BARRA2,13.081,-16.771,8,20,,,,J1,,VM00,,,,80,PMN,18.1,18/11/2018 07:30,PMN,,,O,,,,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 3,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TR12199,,NIGAL,,3,,,20/11/2018 07:00,KARTON,CAMP,13.091,-16.770,,,,,,J1,,VM00,,,,86,CRP,19.2,20/11/2018 07:00,CRP,,,O,,,6,,,,,,,,,69,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,T463372,,NIGAL,,3,,,22/11/2018 07:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,84,JAG,18.7,22/11/2018 07:00,JAG,,,O,,,6,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,S772870,,NIGAL,,3,,,22/11/2018 08:30,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,84,JAG,19.9,22/11/2018 08:30,JAG,,,O,,,4,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 3,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,S772872,,NIGAL,,3,,,22/11/2018 08:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,80,HJE,18.8,22/11/2018 08:30,HJE,,,O,,,4,,,,,,,,,64,,,,2,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82767,,NIGAL,,3,,,26/11/2018 07:00,KARTON,STALA,13.072,-16.749,,,,,,J1,,VM00,,,,81,MFJ,19.8,26/11/2018 07:00,MFJ,,,O,,,6,,,,,,,,,74,,,,3,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,VZ73656,,NIGAL,,5,,,05/01/2019 07:10,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,84,OF,20,05/01/2019 07:10,OF,,,O,,,6,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TH87182,,NIGAL,,5,,,05/01/2019 08:30,KARTON,BARRA3,13.083,-16.770,,,,,,J1,,VM00,,,,84,GC,22.1,05/01/2019 08:30,GC,,,O,,,4,,,,,,,,,66,,,,2,,M,,,,,,,,,,,,,,,net 5,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,S647420,,NIGAL,,6,,,07/01/2019 08:50,KARTON,BARRA1,13.080,-16.769,8,20,M,,,G5,B7,VM00,,,,87,GC,19.9,07/01/2019 08:50,GC,,,O,,,,,,,,,,,,70,,,,2,,M,,,,,,,,,,,,,burnt site,,net 13; tarsus=26.2mm,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TH87187,,NIGAL,,5,,,09/01/2019 07:20,KARTON,BARRA2,13.081,-16.771,,,,,,J1,,VM00,,,,86,GC,21.5,09/01/2019 07:20,GC,,,O,,,5,,,,,,,,,68,,,,2,,M,,,,,,,,,,,,,,,net 5,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,TH87192,,NIGAL,,5,,,10/01/2019 07:30,KARTON,CAMP,13.091,-16.770,,,,,,J1,,VM00,,,,82,MLS,20.3,10/01/2019 07:30,MLS,,,O,,,6,,,,,,,,,72,,,,2,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12190,,NIGAL,,6,,,10/01/2019 07:30,KARTON,BARRA2,13.081,-16.771,8,20,M,,,J1,,VM00,,,,83,GC,19.1,10/01/2019 07:30,GC,,,O,,,,,,,,,,,,65,,,,2,,M,,,,,,,,,,,,,,,net 2,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,JP96017,,NIGAL,,5,,,10/01/2019 08:10,KARTON,BARRA1,13.080,-16.769,8,20,M,,,J1,,VM00,,,,83,GC,19.8,10/01/2019 08:10,GC,,,O,,,5,,,,,,,,,66,,,,,,M,,,,,,,,,,,,,,,net 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,E721113,,NIGAL,,5,,,10/01/2019 08:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,82,SJB,21.1,10/01/2019 08:30,SJB,,,O,,,3,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TH87187,,NIGAL,,5,,,11/01/2019 08:00,KARTON,BARRA2,13.081,-16.771,8,20,,,,J1,,VM00,,,,86,GC,20.8,11/01/2019 08:00,GC,,,O,,,5,,,,,,,,,,,,,1,,M,,,,,,,,,,,,,,,net 5,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12107,,NIGAL,,6,,,13/01/2019 08:20,KARTON,STALA,13.072,-16.749,8,20,M,,,J1,,VM00,,,,84,GC,20.9,13/01/2019 08:20,GC,,,O,,,,,,,,,,,,69,,,,4,,M,,,,,,,,,,,,,,,net 17,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82772,,NIGAL,,6,,,17/01/2019 07:20,KARTON,BARRA5,13.086,-16.770,,,M,,,G5,B7,VM00,,,,88,GC,21.2,17/01/2019 07:20,GC,,,O,,,,,,,,,,,,70,,,,2,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,GBT,VZ73656,,NIGAL,,4,M,,07/11/2019 07:30,KARTON,BARRA1,13.080,-16.769,8,20,M,,,J1,,VM00,,,,86,GC,21,07/11/2019 07:30,GC,,,N,,,,,,,,,,M,27,73,,,,3,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,T463372,,NIGAL,,4,,,08/11/2019 07:10,KARTON,BARRA1,13.080,-16.769,8,20,M,,,J1,,VM00,,,,87,GC,18.9,08/11/2019 07:10,GC,,,N,,,,,,,,,,M,29.7,68,,,,,,M,,,,,,,,,,,,,,,net 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,BN85108,,NIGAL,,4,,,08/11/2019 09:10,SAPU,SAPQUA,13.545,-14.910,,,,,,I5,B1,VM00,,,,86,MM,21.7,08/11/2019 09:10,MM,,,O,,,,,,,,,,,,,,,,2,,M,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82778,,NIGAL,,3,,,12/11/2019 07:30,KARTON,BARRA2,13.081,-16.771,,,M,,,J1,,VM00,,,,85,OF,19.1,12/11/2019 07:30,OF,,,O,,,4,,,,,,,,,68,,,,1,,M,,,,,,,,,,,,,,,net 2,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,TR12190,,NIGAL,,4,,,12/11/2019 07:30,KARTON,BARRA2,13.081,-16.771,8,20,M,,,J1,,VM00,,,,83,GC,19.3,12/11/2019 07:30,GC,,,O,,,,,,,,,,,,66,,,,2,,M,,,,,,,,,,,,,,,net 1,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82783,,NIGAL,,3,,,16/11/2019 18:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,83,WJ,19.6,16/11/2019 18:30,WJ,,,O,,,,,,,,,,,,,,,,2,,M,,,,,,,,,,,,,,,net 17,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,NA82692,,NIGAL,,4,,,16/11/2019 19:00,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,90,MM,22,16/11/2019 19:00,MM,,,O,,,,,,,,,,,,,,,,2,,M,,,,,,,,,,,,,,,net 17,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,GBT,E721113,,NIGAL,,4,,,17/11/2019 07:30,KARTON,BARRA1,13.080,-16.769,8,20,,,,J1,,VM00,,,,86,RAK,21.5,17/11/2019 07:30,RAK,,,N,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,net 9,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,GBT,NA82785,,NIGAL,,3,,,17/11/2019 18:30,KARTON,BARRA1,13.080,-16.769,,,,,,J1,,VM00,,,,82,OF,19.5,17/11/2019 18:30,OF,,,O,,,,,,,,,,,,63,,,,1,,M,,,,,,,,,,,,,,,net 17,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
